country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,migration,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2002,-0.598,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2003,-0.584,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2004,-0.577,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2005,-0.562,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2006,-0.505,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2007,-0.453,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2008,-0.309,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2009,-0.193,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2010,-0.121,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2011,-0.024,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2012,0.075,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2013,0.127,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2014,0.135,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2015,0.128,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2016,0.119,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2017,0.112,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2018,0.106,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2019,0.1,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2020,0.052,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2021,0.052,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2022,0.085,Total,,Number,,,,Total
Argentina,AR,ARG,32,"Net migration rate (per 1,000 population)",2023,0.081,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1950,-2.392,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1950,-2.392,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1951,-1.996,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1951,-1.996,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1952,-1.641,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1952,-1.641,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1953,-1.339,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1953,-1.339,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1954,-1.085,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1954,-1.085,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1955,-0.89,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1955,-0.89,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1956,-0.754,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1956,-0.754,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1957,-0.68,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1957,-0.68,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1958,-0.671,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1958,-0.671,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1959,-0.74,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1959,-0.74,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1960,-0.849,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1960,-0.849,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1961,-0.96,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1961,-0.96,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1962,-1.041,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1962,-1.041,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1963,-1.071,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1963,-1.071,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1964,-1.08,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1964,-1.08,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1965,-1.079,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1965,-1.079,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1966,-1.071,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1966,-1.071,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1967,-1.066,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1967,-1.066,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1968,-1.065,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1968,-1.065,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1969,-1.067,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1969,-1.067,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1970,-1.071,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1970,-1.071,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1971,-1.077,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1971,-1.077,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1972,-1.089,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1972,-1.089,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1973,-1.113,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1973,-1.113,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1974,-1.17,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1974,-1.17,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1975,-1.252,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1975,-1.252,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1976,-1.346,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1976,-1.346,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1977,-1.437,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1977,-1.437,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1978,-1.541,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1978,-1.541,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1979,-1.767,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1979,-1.767,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1980,-2.049,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1980,-2.049,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1981,-2.296,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1981,-2.296,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1982,-2.43,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1982,-2.43,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1983,-2.518,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1983,-2.518,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1984,-2.655,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1984,-2.655,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1985,-2.746,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1985,-2.746,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1986,-2.801,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1986,-2.801,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1987,-2.841,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1987,-2.841,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1988,-2.871,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1988,-2.871,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1989,-2.977,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1989,-2.977,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1990,-3.083,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1990,-3.083,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1991,-3.167,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1991,-3.167,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1992,-3.241,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1992,-3.241,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1993,-3.269,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1993,-3.269,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1994,-3.183,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1994,-3.183,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1995,-3.007,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1995,-3.007,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1996,-2.809,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1996,-2.809,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1997,-2.613,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1997,-2.613,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1998,-2.413,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1998,-2.413,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",1999,-2.197,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",1999,-2.197,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2000,-2.055,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2000,-2.055,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2001,-1.889,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2001,-1.889,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2002,-1.824,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2002,-1.824,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2003,-1.71,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2003,-1.71,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2004,-1.645,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2004,-1.645,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2005,-1.562,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2005,-1.562,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2006,-1.477,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2006,-1.477,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2007,-1.406,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2007,-1.406,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2008,-1.357,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2008,-1.357,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2009,-1.298,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2009,-1.298,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2010,-1.231,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2010,-1.231,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2011,-1.164,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2011,-1.164,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2012,-1.105,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2012,-1.105,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2013,-1.058,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2013,-1.058,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2014,-1.005,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2014,-1.005,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2015,-0.949,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2015,-0.949,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2016,-0.894,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2016,-0.894,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2017,-0.845,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2017,-0.845,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2018,-0.805,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2018,-0.805,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2019,-0.762,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2019,-0.762,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2020,-0.391,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2020,-0.391,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2021,-0.386,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2021,-0.386,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2022,-0.245,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2022,-0.245,Total,,Number,,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Net migration rate (per 1,000 population)",2023,-0.242,Total,,Number,,,,Total
Bolivia,BO,BOL,68,"Net migration rate (per 1,000 population)",2023,-0.242,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1950,0.669,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1951,0.67,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1952,0.602,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1953,0.403,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1954,0.558,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1955,0.65,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1956,0.778,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1957,0.875,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1958,0.604,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1959,0.991,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1960,0.703,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1961,0.005,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1962,0.031,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1963,0.023,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1964,0.034,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1965,0.121,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1966,-0.08,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1967,-0.003,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1968,-0.066,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1969,-0.054,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1970,-0.04,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1971,-0.142,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1972,-0.064,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1973,-0.037,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1974,-0.061,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1975,-0.072,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1976,-0.14,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1977,0.077,Total,,Number,,,,Total
Brazil,BR,BRA,76,"Net migration rate (per 1,000 population)",1978,0.066,Total,,Number,,,,Total
